workflow,node_name,node_type,type_version,credential_types
01-ai-agent-chatbot-sisip.json,Sticky Note1,n8n-nodes-base.stickyNote,1,
01-ai-agent-chatbot-sisip.json,Sticky Note16,n8n-nodes-base.stickyNote,1,
01-ai-agent-chatbot-sisip.json,Format Telegram Output,n8n-nodes-base.code,2,
01-ai-agent-chatbot-sisip.json,Send Whatsapp Message,n8n-nodes-waha.WAHA,202411,wahaApi
01-ai-agent-chatbot-sisip.json,Format Whatsapp Output,n8n-nodes-base.code,2,
01-ai-agent-chatbot-sisip.json,Calculate Message Age,n8n-nodes-base.code,2,
01-ai-agent-chatbot-sisip.json,Clean Dirty Output (for n8n chat),n8n-nodes-base.code,2,
01-ai-agent-chatbot-sisip.json,Output Parser (Question Category),@n8n/n8n-nodes-langchain.outputParserStructured,1.3,
01-ai-agent-chatbot-sisip.json,Main AI Agent,@n8n/n8n-nodes-langchain.agent,3,
01-ai-agent-chatbot-sisip.json,Sticky Note14,n8n-nodes-base.stickyNote,1,
01-ai-agent-chatbot-sisip.json,Question Categorizer,@n8n/n8n-nodes-langchain.chainLlm,1.7,
01-ai-agent-chatbot-sisip.json,Sticky Note15,n8n-nodes-base.stickyNote,1,
01-ai-agent-chatbot-sisip.json,Chat Memory (n8n Chat),@n8n/n8n-nodes-langchain.memoryBufferWindow,1.3,
01-ai-agent-chatbot-sisip.json,Find Dataset,n8n-nodes-base.postgresTool,2.6,postgres
01-ai-agent-chatbot-sisip.json,Run SQL Query,n8n-nodes-base.postgresTool,2.6,postgres
01-ai-agent-chatbot-sisip.json,Search SISIP Knowledge,@n8n/n8n-nodes-langchain.vectorStoreSupabase,1.3,supabaseApi
01-ai-agent-chatbot-sisip.json,WAHA Trigger,n8n-nodes-waha.wahaTrigger,202411,
01-ai-agent-chatbot-sisip.json,DeepSeek Chat Categorizer,n8n-nodes-deepseek-reasoner.deepSeekReasoner,1,deepSeekReasonerApi
01-ai-agent-chatbot-sisip.json,Embeddings HuggingFace Inference,@n8n/n8n-nodes-langchain.embeddingsHuggingFaceInference,1,huggingFaceApi
01-ai-agent-chatbot-sisip.json,Switch,n8n-nodes-base.switch,3.4,
01-ai-agent-chatbot-sisip.json,Extract Sender Information,n8n-nodes-base.set,3.4,
01-ai-agent-chatbot-sisip.json,Skip (Session Status Double),n8n-nodes-base.noOp,1,
01-ai-agent-chatbot-sisip.json,Check Double Input,n8n-nodes-base.if,2.3,
01-ai-agent-chatbot-sisip.json,Transform TimeZone: 'Asia/Jakarta',n8n-nodes-base.code,2,
01-ai-agent-chatbot-sisip.json,Switch (Session Status),n8n-nodes-base.switch,3.4,
01-ai-agent-chatbot-sisip.json,Email Send Session Status (Working),n8n-nodes-base.gmail,2.2,gmailOAuth2
01-ai-agent-chatbot-sisip.json,Email Send Session Status (Stopped),n8n-nodes-base.gmail,2.2,gmailOAuth2
01-ai-agent-chatbot-sisip.json,Email Send Session Status (Failed),n8n-nodes-base.gmail,2.2,gmailOAuth2
01-ai-agent-chatbot-sisip.json,Error Message (Session Status Waha) Done,n8n-nodes-base.noOp,1,
01-ai-agent-chatbot-sisip.json,Email Send Session Status (Scan QR Code),n8n-nodes-base.gmail,2.2,gmailOAuth2
01-ai-agent-chatbot-sisip.json,Check Double Input (Exist Or Not),n8n-nodes-base.if,2.3,
01-ai-agent-chatbot-sisip.json,Skip (Start Session Status),n8n-nodes-base.noOp,1,
01-ai-agent-chatbot-sisip.json,Message Older,n8n-nodes-base.if,2.2,
01-ai-agent-chatbot-sisip.json,Sticky Note10,n8n-nodes-base.stickyNote,1,
01-ai-agent-chatbot-sisip.json,Skip (Another Events),n8n-nodes-base.noOp,1,
01-ai-agent-chatbot-sisip.json,Sticky Note11,n8n-nodes-base.stickyNote,1,
01-ai-agent-chatbot-sisip.json,DeepSeek Chat Model,@n8n/n8n-nodes-langchain.lmChatDeepSeek,1,deepSeekApi
01-ai-agent-chatbot-sisip.json,Insert row,n8n-nodes-base.dataTable,1.1,
02-data-ingestion-pipeline.json,Sticky Note,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Search in Record Manager,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Generate Hash,n8n-nodes-base.crypto,1,
02-data-ingestion-pipeline.json,Check File Format,n8n-nodes-base.switch,3.3,
02-data-ingestion-pipeline.json,Extract from CSV,n8n-nodes-base.extractFromFile,1.1,
02-data-ingestion-pipeline.json,Extract from Excel,n8n-nodes-base.extractFromFile,1.1,
02-data-ingestion-pipeline.json,Aggregate Data,n8n-nodes-base.aggregate,1,
02-data-ingestion-pipeline.json,Set Text for Tabular Data,n8n-nodes-base.set,3.4,
02-data-ingestion-pipeline.json,Extract from PDF,n8n-nodes-base.extractFromFile,1.1,
02-data-ingestion-pipeline.json,Extract (Get) from Google Docs,n8n-nodes-base.googleDocs,2,googleDocsOAuth2Api
02-data-ingestion-pipeline.json,Set Up Text to be Hashed,n8n-nodes-base.set,3.4,
02-data-ingestion-pipeline.json,Concatenate All Rows into One String,n8n-nodes-base.summarize,1.1,
02-data-ingestion-pipeline.json,Extract Column Names (Table Schema),n8n-nodes-base.set,3.4,
02-data-ingestion-pipeline.json,Download File (Binary),n8n-nodes-base.googleDrive,3,googleDriveOAuth2Api
02-data-ingestion-pipeline.json,Merge Table Content & Schema,n8n-nodes-base.merge,3.2,
02-data-ingestion-pipeline.json,"Check if the File is New, Modified or Not",n8n-nodes-base.switch,3.3,
02-data-ingestion-pipeline.json,Set Text (Flow Merged),n8n-nodes-base.set,3.4,
02-data-ingestion-pipeline.json,Sticky Note3,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Sticky Note6,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Sticky Note7,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Convert to ZIP,n8n-nodes-base.code,2,
02-data-ingestion-pipeline.json,Extract DOCX Content,n8n-nodes-base.code,2,
02-data-ingestion-pipeline.json,Decompress,n8n-nodes-base.compression,1.1,
02-data-ingestion-pipeline.json,Extract from ODS,n8n-nodes-base.extractFromFile,1.1,
02-data-ingestion-pipeline.json,Pencarian folder 'AI SISIP',n8n-nodes-base.googleDrive,3,googleDriveOAuth2Api
02-data-ingestion-pipeline.json,Input folder dan File Sementara,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Set Path Folder 'AI SISIP',n8n-nodes-base.set,3.4,
02-data-ingestion-pipeline.json,Pegecekan DB File & Folder Sementara,n8n-nodes-base.if,2.3,
02-data-ingestion-pipeline.json,Get 1 File & Folder Sementara,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Pengecekan Jenis File & Folder Sementara,n8n-nodes-base.switch,3.4,
02-data-ingestion-pipeline.json,Input DB File,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Input File Bertahap,n8n-nodes-base.splitInBatches,3,
02-data-ingestion-pipeline.json,Get row(s) in sheet,n8n-nodes-base.googleSheets,4.7,googleSheetsOAuth2Api
